codes,wav_codes,transcript
1581,580324696948961796.wav,"L'Amazone est également le fleuve le plus large de la planète, atteignant parfois 10 km de large."
1581,6822012988359222189.wav,"L'Amazone est également le fleuve le plus large de la planète, atteignant parfois 10 km de large."
1581,10587796381228744557.wav,"L'Amazone est également le fleuve le plus large de la planète, atteignant parfois 10 km de large."
1589,9932118623900859329.wav,"Les critères qui déterminent une sous-culture comme distincte peuvent être linguistiques, esthétiques, religieux, politiques, sexuels, géographiques ou une combinaison de facteurs."
1589,1301309005206167790.wav,"Les critères qui déterminent une sous-culture comme distincte peuvent être linguistiques, esthétiques, religieux, politiques, sexuels, géographiques ou une combinaison de facteurs."
1589,4256296694558982570.wav,"Les critères qui déterminent une sous-culture comme distincte peuvent être linguistiques, esthétiques, religieux, politiques, sexuels, géographiques ou une combinaison de facteurs."
1529,14577168266742294147.wav,"Auparavant, le PDG de Ring, Jamie Siminoff, a fait remarquer qu'il a lancé l'entreprise lorsque la sonnette de sa porte d'entrée n'était pas audible depuis son magasin dans son garage."
1529,11000058133089524989.wav,"Auparavant, le PDG de Ring, Jamie Siminoff, a fait remarquer qu'il a lancé l'entreprise lorsque la sonnette de sa porte d'entrée n'était pas audible depuis son magasin dans son garage."
1551,18066194175846028457.wav,On essaie encore de déterminer quelle a été l'ampleur de l'accident et comment la Terre sera affectée.
1551,16779044087085422178.wav,On essaie encore de déterminer quelle a été l'ampleur de l'accident et comment la Terre sera affectée.
1551,6365057058132908699.wav,On essaie encore de déterminer quelle a été l'ampleur de l'accident et comment la Terre sera affectée.
1583,17440545257122711014.wav,Elle est arrivée à cette conclusion grâce aux multiples commentaires positifs et encouragements qu’elle a reçus aussi bien des femmes que des hommes sur l’importance de considérer la contraception comme une nécessité.
1583,9686539269233357470.wav,Elle est arrivée à cette conclusion grâce aux multiples commentaires positifs et encouragements qu’elle a reçus aussi bien des femmes que des hommes sur l’importance de considérer la contraception comme une nécessité.
1583,11562112963864972357.wav,Elle est arrivée à cette conclusion grâce aux multiples commentaires positifs et encouragements qu’elle a reçus aussi bien des femmes que des hommes sur l’importance de considérer la contraception comme une nécessité.
1536,1284616974191518194.wav,"Les autorités locales avertissent les habitants des environs de rester à l’intérieur, d’éteindre les climatiseurs et de ne pas boire l’eau du robinet."
1536,15365195302044965205.wav,"Les autorités locales avertissent les habitants des environs de rester à l’intérieur, d’éteindre les climatiseurs et de ne pas boire l’eau du robinet."
1536,17216238308313579985.wav,"Les autorités locales avertissent les habitants des environs de rester à l’intérieur, d’éteindre les climatiseurs et de ne pas boire l’eau du robinet."
1607,15486459632428455015.wav,Cela vaut la peine de se promener pendant une demi-heure dans ce village fascinant.
1607,7710081235851472968.wav,Cela vaut la peine de se promener pendant une demi-heure dans ce village fascinant.
1607,12242517888146990260.wav,Cela vaut la peine de se promener pendant une demi-heure dans ce village fascinant.
1527,5994845375437273513.wav,Le skieur polonais malvoyant Maciej Krezel et sa guide Anna Ogarzynska ont terminé à la treizième place du Super-G. Le sud coréen Jong Seork Park a terminé à la vingt-quatrième place du Super-G assis masculin.
1527,16685641519397545719.wav,Le skieur polonais malvoyant Maciej Krezel et sa guide Anna Ogarzynska ont terminé à la treizième place du Super-G. Le sud coréen Jong Seork Park a terminé à la vingt-quatrième place du Super-G assis masculin.
1527,17734542877779766065.wav,Le skieur polonais malvoyant Maciej Krezel et sa guide Anna Ogarzynska ont terminé à la treizième place du Super-G. Le sud coréen Jong Seork Park a terminé à la vingt-quatrième place du Super-G assis masculin.
1520,16673043640681952203.wav,Un sondage effectué auprès de 1 400 personnes avant les élections fédérales de 2010 a révélé que le nombre d'opposants à la transformation de l'Australie en république avait augmenté de 8 % depuis 2008.
1520,12118883066290247964.wav,Un sondage effectué auprès de 1 400 personnes avant les élections fédérales de 2010 a révélé que le nombre d'opposants à la transformation de l'Australie en république avait augmenté de 8 % depuis 2008.
1630,7821490262817434898.wav,Le Mexicain Arly Velasquez a terminé quinzième au Super-G masculin assis. Le Néo-Zélandais Adam Hall a terminé à la neuvième place du Super-G masculin debout.
1630,16094774539596254824.wav,Le Mexicain Arly Velasquez a terminé quinzième au Super-G masculin assis. Le Néo-Zélandais Adam Hall a terminé à la neuvième place du Super-G masculin debout.
1568,9686893852433750086.wav,"Bien que très largement utilisé, en particulier chez les non-roms, le terme « Gitan » est souvent considéré comme péjoratif du fait de son association avec des stéréotypes négatifs et une image faussée du peuple rom."
1598,13637937540811867898.wav,"Bien que trois personnes aient été présentes dans la maison quand la voiture l'a percutée, aucune n'a été blessée."
1598,475129543623066238.wav,"Bien que trois personnes aient été présentes dans la maison quand la voiture l'a percutée, aucune n'a été blessée."
1533,12952609488891094440.wav,"De nombreux formats courants (famille de formats APS, par exemple) sont égaux à ce rapport d’aspect ou s’en approchent de près."
1533,10245663879872870443.wav,"De nombreux formats courants (famille de formats APS, par exemple) sont égaux à ce rapport d’aspect ou s’en approchent de près."
1587,18374897447360736997.wav,Les premiers cas de cette maladie saisonnière ont été déclarés fin juillet.
1587,4190635523304233475.wav,Les premiers cas de cette maladie saisonnière ont été déclarés fin juillet.
1587,15610055106047162519.wav,Les premiers cas de cette maladie saisonnière ont été déclarés fin juillet.
1612,5404319582598438880.wav,L'eau se déverse sur la digue dans une section de 100 pieds de large.
1612,12551583146977488425.wav,L'eau se déverse sur la digue dans une section de 100 pieds de large.
1612,5669542131355672758.wav,L'eau se déverse sur la digue dans une section de 100 pieds de large.
1572,5832476106767976342.wav,Trois autres bombes ont explosé près des bâtiments du gouvernement en l'espace de deux heures.
1572,5615774425972366516.wav,Trois autres bombes ont explosé près des bâtiments du gouvernement en l'espace de deux heures.
1597,3065756655073387723.wav,"L'argent peut être échangé à la seule banque des îles située à Stanley, en face du magasin FIC West."
1597,6631371822567739317.wav,"L'argent peut être échangé à la seule banque des îles située à Stanley, en face du magasin FIC West."
1597,4058888282216101530.wav,"L'argent peut être échangé à la seule banque des îles située à Stanley, en face du magasin FIC West."
1619,15939669226567246169.wav,"Toutefois, la plupart des panneaux sont uniquement en catalan, car la loi établit qu'il s'agit de la première langue officielle."
1628,907011194312892086.wav,"Des produits artisanaux peuvent être considérés comme des antiquités, même s’ils sont moins anciens que des produits industriels similaires."
1628,5925593803542645121.wav,"Des produits artisanaux peuvent être considérés comme des antiquités, même s’ils sont moins anciens que des produits industriels similaires."
1628,7856890929576275663.wav,"Des produits artisanaux peuvent être considérés comme des antiquités, même s’ils sont moins anciens que des produits industriels similaires."
1524,10132087162443371989.wav,"Il y a de nombreuses répercussions sociales et politiques telles que l'utilisation du système métrique, le passage de l'absolutisme au républicanisme, le nationalisme et la conviction que le pays appartient au peuple et non à un seul dirigeant."
1524,14486082280920343717.wav,"Il y a de nombreuses répercussions sociales et politiques telles que l'utilisation du système métrique, le passage de l'absolutisme au républicanisme, le nationalisme et la conviction que le pays appartient au peuple et non à un seul dirigeant."
1561,8657467564551770215.wav,"La plupart des districts sont desservis par de petits caboteurs japonais, qui sont confortables et robustes."
1655,18191284213795876309.wav,"Par exemple, « l'apprentissage » et « la socialisation » sont considérés comme de grands facteurs favorisant l'utilisation d'Internet (James et al., 1995)."
1655,15371714916498429190.wav,"Par exemple, « l'apprentissage » et « la socialisation » sont considérés comme de grands facteurs favorisant l'utilisation d'Internet (James et al., 1995)."
1625,5992216071413521711.wav,"Des chanteurs célèbres dans tout le pays ont présenté des bhajans, ou chants de dévotion, aux pieds de Shri Shyam."
1614,6786980018992157426.wav,"Ils voient très bien dans l'obscurité grâce à leur vision nocturne, et se déplacent aussi très furtivement. Les ocelots traquent leurs proies en se fondant dans leur environnement avant de se jeter sur elles."
1549,4280854297640590111.wav,Ces théories suggèrent que les gens ont certains besoins et/ou désirs qui ont été intériorisés au fur et à mesure de leur maturation vers l'âge adulte.
1549,9238703150285310547.wav,Ces théories suggèrent que les gens ont certains besoins et/ou désirs qui ont été intériorisés au fur et à mesure de leur maturation vers l'âge adulte.
1546,15459558341100981231.wav,"La structure des plumes suggère qu’elles n’étaient pas utilisées en vol mais plutôt pour la régulation ou l’affichage de la température. Les chercheurs ont suggéré que, même s’il s’agit de la queue d’un jeune dinosaure, l’échantillon montre un plumage d’adulte et non le duvet d’un poussin."
1546,5238075320404703631.wav,"La structure des plumes suggère qu’elles n’étaient pas utilisées en vol mais plutôt pour la régulation ou l’affichage de la température. Les chercheurs ont suggéré que, même s’il s’agit de la queue d’un jeune dinosaure, l’échantillon montre un plumage d’adulte et non le duvet d’un poussin."
1546,4118176317126658253.wav,"La structure des plumes suggère qu’elles n’étaient pas utilisées en vol mais plutôt pour la régulation ou l’affichage de la température. Les chercheurs ont suggéré que, même s’il s’agit de la queue d’un jeune dinosaure, l’échantillon montre un plumage d’adulte et non le duvet d’un poussin."
1531,8326873710201718508.wav,"Les îles de l'Afrique de l'Est se situent dans l'océan Indien, au large de la côte est africaine."
1531,16384573923631570950.wav,"Les îles de l'Afrique de l'Est se situent dans l'océan Indien, au large de la côte est africaine."
1531,15432127974322879562.wav,"Les îles de l'Afrique de l'Est se situent dans l'océan Indien, au large de la côte est africaine."
1649,5115653001384958490.wav,"Au Japon, les premières fêtes des cerisiers en fleurs ont été organisées par l’empereur uniquement pour lui-même et les autres membres de l’aristocratie proche autour de la Cour impériale."
1649,14069282449977562378.wav,"Au Japon, les premières fêtes des cerisiers en fleurs ont été organisées par l’empereur uniquement pour lui-même et les autres membres de l’aristocratie proche autour de la Cour impériale."
1649,12841943327473273211.wav,"Au Japon, les premières fêtes des cerisiers en fleurs ont été organisées par l’empereur uniquement pour lui-même et les autres membres de l’aristocratie proche autour de la Cour impériale."
1578,13008079281810088088.wav,"Ensuite, Lakkha Singh a pris l'initiative de chanter les bhajans."
1578,14757781394291531658.wav,"Ensuite, Lakkha Singh a pris l'initiative de chanter les bhajans."
1586,3308482976208694651.wav,"Elle a d'abord participé au slalom, où elle a obtenu un « did not finish » (DNF) lors de sa première course. 36 des 116 concurrents ont obtenu le même résultat dans cette course."
1586,2161807570124284060.wav,"Elle a d'abord participé au slalom, où elle a obtenu un « did not finish » (DNF) lors de sa première course. 36 des 116 concurrents ont obtenu le même résultat dans cette course."
1514,5112589725421844028.wav,"Une fois la bagarre arrêtée après que les blessés ont été conduits à l'infirmerie, environ 40 des détenus restants sont restés dans la cour, refusant de retourner dans leur cellule."
1514,4955856280346719922.wav,"Une fois la bagarre arrêtée après que les blessés ont été conduits à l'infirmerie, environ 40 des détenus restants sont restés dans la cour, refusant de retourner dans leur cellule."
1615,16417305735636273349.wav,"Il y a quelques milliers d’années, un homme appelé Aristarque a affirmé que le système solaire se déplaçait autour du Soleil."
1615,15323510092681660358.wav,"Il y a quelques milliers d’années, un homme appelé Aristarque a affirmé que le système solaire se déplaçait autour du Soleil."
1615,3182604291245542197.wav,"Il y a quelques milliers d’années, un homme appelé Aristarque a affirmé que le système solaire se déplaçait autour du Soleil."
1580,9785815276309009828.wav,"Aux États-Unis, il y a environ 400 000 cas connus de sclérose en plaques (SEP), ce qui en fait la principale maladie neurologique chez les jeunes et les adultes d’âge moyen."
1574,2959978076134592004.wav,"L'hiver peut être trompeusement froid : les températures descendent rarement en dessous de zéro, mais le vent et l'humidité se combinent pour donner l'impression qu'il fait plus froid que ce que dit le thermomètre."
1574,15686435383796110003.wav,"L'hiver peut être trompeusement froid : les températures descendent rarement en dessous de zéro, mais le vent et l'humidité se combinent pour donner l'impression qu'il fait plus froid que ce que dit le thermomètre."
1554,7424820946838287818.wav,Il dit avoir conçu une sonnette de porte Wi-Fi.
1554,15503592543859035592.wav,Il dit avoir conçu une sonnette de porte Wi-Fi.
1554,2086639904747050008.wav,Il dit avoir conçu une sonnette de porte Wi-Fi.
1577,3920926992201662587.wav,Cela ne me semblait pas logique ; ce n'était certainement pas juste.
1577,12736265345443968280.wav,Cela ne me semblait pas logique ; ce n'était certainement pas juste.
1590,3424844563932734600.wav,"La principale bière locale est la « Number One », une bière assez ordinaire, mais savoureuse et rafraîchissante. Il existe aussi une autre bière locale, la « Manta »."
1590,13120721376376584436.wav,"La principale bière locale est la « Number One », une bière assez ordinaire, mais savoureuse et rafraîchissante. Il existe aussi une autre bière locale, la « Manta »."
1593,17020874649461631601.wav,"Finalement, les roues en bois ont été remplacées par des roues en fer. En 1767, les premiers rails en fer ont fait leur apparition."
1593,11046631667630579521.wav,"Finalement, les roues en bois ont été remplacées par des roues en fer. En 1767, les premiers rails en fer ont fait leur apparition."
1609,3072550045953660856.wav,"Robin Uthappa a obtenu le score le plus élevé des manches, 70 points en seulement 41 balles en frappant 11 fois quatre runs et 2 fois six runs."
1609,13630599605931307319.wav,"Robin Uthappa a obtenu le score le plus élevé des manches, 70 points en seulement 41 balles en frappant 11 fois quatre runs et 2 fois six runs."
1609,115842053593505063.wav,"Robin Uthappa a obtenu le score le plus élevé des manches, 70 points en seulement 41 balles en frappant 11 fois quatre runs et 2 fois six runs."
1624,9760550097801112268.wav,Les voies navigables intérieures peuvent être un excellent thème pour des vacances.
1624,3403868515702274320.wav,Les voies navigables intérieures peuvent être un excellent thème pour des vacances.
1624,12578790304113190442.wav,Les voies navigables intérieures peuvent être un excellent thème pour des vacances.
1585,14749239329139492793.wav,"Au fil du temps, à mesure que la nouvelle population s'adapte à son nouvel environnement, elle commence à ressembler de moins en moins à l'autre population."
1604,3973723344518157445.wav,"Pendant son temps au sein de la NSA, il a aidé Carter à résoudre diplomatiquement des questions internationales telles que les accords de Camp David, en 1978, la normalisation des relations entre les États-Unis et la Chine à la fin des années 1970, la révolution iranienne et ses conséquences comme la prise d'otages en Iran, en 1979, et l'invasion des forces soviétiques en Afghanistan, en 1979."
1636,8153042219177275173.wav,"Les Espagnols ont inauguré la période de la colonisation, laquelle a duré trois siècles."
1636,10572150933399515603.wav,"Les Espagnols ont inauguré la période de la colonisation, laquelle a duré trois siècles."
1530,1208718371230058980.wav,"Il devait être abattu mardi, mais il a été sauvé suite à une décision d'urgence du tribunal."
1530,12482409059971069823.wav,"Il devait être abattu mardi, mais il a été sauvé suite à une décision d'urgence du tribunal."
1530,6542977456959320125.wav,"Il devait être abattu mardi, mais il a été sauvé suite à une décision d'urgence du tribunal."
1556,9922043154072513318.wav,"Son millième timbre a été le magnifique « Great Deeds by Swedish Kings » de David Klöcker Ehrenstrahl en 2000, qui figure dans le Livre Guinness des records."
1556,4005455978503346234.wav,"Son millième timbre a été le magnifique « Great Deeds by Swedish Kings » de David Klöcker Ehrenstrahl en 2000, qui figure dans le Livre Guinness des records."
1602,4714749299781775987.wav,"La cuisine majorquine, comme celle des zones similaires de la Méditerranée, est basée sur le pain, les légumes et la viande (surtout du porc), et fait appel à l'huile d'olive."
1602,2882989325382935751.wav,"La cuisine majorquine, comme celle des zones similaires de la Méditerranée, est basée sur le pain, les légumes et la viande (surtout du porc), et fait appel à l'huile d'olive."
1519,732700586050059953.wav,"Souvent, le fait d'avoir suivi des cours d'année sabbatique à l'étranger peut en fait vous donner de meilleures chances de faire des études supérieures dans votre pays."
1519,13973273485732773625.wav,"Souvent, le fait d'avoir suivi des cours d'année sabbatique à l'étranger peut en fait vous donner de meilleures chances de faire des études supérieures dans votre pays."
1519,5113645997195445545.wav,"Souvent, le fait d'avoir suivi des cours d'année sabbatique à l'étranger peut en fait vous donner de meilleures chances de faire des études supérieures dans votre pays."
1543,14978619309026793185.wav,"Le patient s'était rendu au Nigeria, où certains cas de virus Ebola se sont produits."
1543,10864361718248331558.wav,"Le patient s'était rendu au Nigeria, où certains cas de virus Ebola se sont produits."
1550,11268749000541560281.wav,"Le ski est une activité de voyage majeure qui compte de nombreux aficionados, parfois appelés « ski bums », qui organisent leurs vacances entières en fonction du ski dans des endroits spécifiques."
1616,4760635770142132040.wav,La science montre désormais que cette économie massivement basée sur le carbone a délogé la biosphère de son état de stabilité qui a soutenu l'évolution humaine pendant deux millions d'années.
1616,10331759741273598924.wav,La science montre désormais que cette économie massivement basée sur le carbone a délogé la biosphère de son état de stabilité qui a soutenu l'évolution humaine pendant deux millions d'années.
1608,18108987330428679235.wav,"J'ai perdu ma sœur et son amie, et sur mon chemin, il y avait deux personnes handicapées en fauteuil roulant, des gens qui ne faisaient que sauter et les pousser », a déclaré Armand Versace."
1626,99477428879919877.wav,"Le médaillé d'or olympique devait nager au 100 m et au 200 m nage libre et dans trois relais aux Jeux du Commonwealth, mais en raison de ses plaintes, sa condition physique a été mise en doute."
1522,143093439256524861.wav,"La solution est apportée par la technologie sous la forme de sorties éducatives virtuelles. Les élèves peuvent regarder les objets anciens d'un musée, visiter un aquarium, ou admirer une superbe œuvre d'art tout en restant assis avec leur classe."
1522,538643546575939216.wav,"La solution est apportée par la technologie sous la forme de sorties éducatives virtuelles. Les élèves peuvent regarder les objets anciens d'un musée, visiter un aquarium, ou admirer une superbe œuvre d'art tout en restant assis avec leur classe."
1642,12825999561010912089.wav,Les dépenses de guerre de l'impérialisme américain dans la conquête des Philippines ont été payées par le peuple philippin lui-même.
1642,5411678530596209717.wav,Les dépenses de guerre de l'impérialisme américain dans la conquête des Philippines ont été payées par le peuple philippin lui-même.
1642,13036198272031553548.wav,Les dépenses de guerre de l'impérialisme américain dans la conquête des Philippines ont été payées par le peuple philippin lui-même.
1658,11257365035961013904.wav,"Avec seulement dix-huit médailles disponibles par jour, un certain nombre de pays n'ont pas réussi à monter sur le podium des médaillés."
1658,242076162155027616.wav,"Avec seulement dix-huit médailles disponibles par jour, un certain nombre de pays n'ont pas réussi à monter sur le podium des médaillés."
1658,14402828885890342884.wav,"Avec seulement dix-huit médailles disponibles par jour, un certain nombre de pays n'ont pas réussi à monter sur le podium des médaillés."
1592,824911076273335636.wav,"Au début, lorsque vous vous rendiez à l'étranger, les gens étaient probablement patients et compréhensifs, sachant que les voyageurs dans un nouveau pays doivent s'adapter."
1592,652947650044890074.wav,"Au début, lorsque vous vous rendiez à l'étranger, les gens étaient probablement patients et compréhensifs, sachant que les voyageurs dans un nouveau pays doivent s'adapter."
1592,14771933092439319063.wav,"Au début, lorsque vous vous rendiez à l'étranger, les gens étaient probablement patients et compréhensifs, sachant que les voyageurs dans un nouveau pays doivent s'adapter."
1560,6826522048503234648.wav,"Dès que vous sortez du courant, le retour à la nage n'est pas plus difficile que d'habitude."
1560,11357826383234870444.wav,"Dès que vous sortez du courant, le retour à la nage n'est pas plus difficile que d'habitude."
1571,4103141930996483169.wav,Les Arabes ont également apporté la pratique de l'Islam dans les terres et cette religion s'est largement répandue aux Comores et à Mayotte.
1633,7722919294413073978.wav,"Dans cette navette de transport dynamique, chacun est en quelque sorte relié à un système de transport basé sur les voitures particulières et le soutient."
1595,343285770319720856.wav,"Le bouddhisme tibétain est basé sur les enseignements de Bouddha, mais a été enrichi par le chemin de l'amour mahayana et par de nombreuses techniques du yoga indien."
1631,1935647762066231879.wav,"Les Égyptiens antiques du Nouvel Empire étaient émerveillés par les monuments de leurs prédécesseurs, qui avaient alors bien plus de mille ans."
1631,17610231428532111577.wav,"Les Égyptiens antiques du Nouvel Empire étaient émerveillés par les monuments de leurs prédécesseurs, qui avaient alors bien plus de mille ans."
1631,5383312931840171604.wav,"Les Égyptiens antiques du Nouvel Empire étaient émerveillés par les monuments de leurs prédécesseurs, qui avaient alors bien plus de mille ans."
1547,18317363254086310962.wav,"La NHK a également fait savoir que la centrale nucléaire de Kashiwazaki Kariwa, dans la préfecture de Niigata, fonctionnait normalement."
1547,8699994918594015645.wav,"La NHK a également fait savoir que la centrale nucléaire de Kashiwazaki Kariwa, dans la préfecture de Niigata, fonctionnait normalement."
1559,14641949262016441180.wav,"La prononciation est relativement facile en italien, car la plupart des mots sont prononcés exactement comme ils sont écrits"
1559,14468638584426924317.wav,"La prononciation est relativement facile en italien, car la plupart des mots sont prononcés exactement comme ils sont écrits"
1555,5888479532718765173.wav,"Dans le cimetière, on trouve d'intéressantes sculptures en marbre représentant des colombes sur certaines tombes."
1555,13474066888839038308.wav,"Dans le cimetière, on trouve d'intéressantes sculptures en marbre représentant des colombes sur certaines tombes."
1538,1078144379181625971.wav,"Le tronçon entre Point Marion et Fairmont présente les conditions de conduite les plus difficiles sur l’autoroute Buffalo-Pittsburgh, passant fréquemment par des terrains isolés de l’arrière-pays."
1538,546107982963610662.wav,"Le tronçon entre Point Marion et Fairmont présente les conditions de conduite les plus difficiles sur l’autoroute Buffalo-Pittsburgh, passant fréquemment par des terrains isolés de l’arrière-pays."
1538,3086209998638120258.wav,"Le tronçon entre Point Marion et Fairmont présente les conditions de conduite les plus difficiles sur l’autoroute Buffalo-Pittsburgh, passant fréquemment par des terrains isolés de l’arrière-pays."
1512,12455102251511200837.wav,"Ce nouvel environnement a des ressources et des concurrents différents, de sorte que la nouvelle population aura besoin de caractéristiques ou d'adaptations nouvelles pour être un concurrent puissant par rapport à ce dont elle avait besoin auparavant."
1512,1595604119065897429.wav,"Ce nouvel environnement a des ressources et des concurrents différents, de sorte que la nouvelle population aura besoin de caractéristiques ou d'adaptations nouvelles pour être un concurrent puissant par rapport à ce dont elle avait besoin auparavant."
1512,8521546916149723317.wav,"Ce nouvel environnement a des ressources et des concurrents différents, de sorte que la nouvelle population aura besoin de caractéristiques ou d'adaptations nouvelles pour être un concurrent puissant par rapport à ce dont elle avait besoin auparavant."
1632,2626496476192849429.wav,"Les femmes doivent réaliser que certaines différences culturelles peuvent entraîner des comportements qu'elles considèrent comme du harcèlement. Il est en effet courant qu'elles soient suivies, attrapées par le bras, etc."
1632,10828476775853126892.wav,"Les femmes doivent réaliser que certaines différences culturelles peuvent entraîner des comportements qu'elles considèrent comme du harcèlement. Il est en effet courant qu'elles soient suivies, attrapées par le bras, etc."
1632,17337206154280408983.wav,"Les femmes doivent réaliser que certaines différences culturelles peuvent entraîner des comportements qu'elles considèrent comme du harcèlement. Il est en effet courant qu'elles soient suivies, attrapées par le bras, etc."
1523,10376292502408079741.wav,"Le match s'est joué à un point, 21 à 20, mettant fin à la série de 15 victoires des All Blacks."
1523,9043116753413356940.wav,"Le match s'est joué à un point, 21 à 20, mettant fin à la série de 15 victoires des All Blacks."
1569,16753127861770741393.wav,Le rapport s'ouvre par un appel à un débat ouvert et à la formation d'un consensus aux États-Unis sur la politique à l'égard du Moyen-Orient.
1569,14046740514393554148.wav,Le rapport s'ouvre par un appel à un débat ouvert et à la formation d'un consensus aux États-Unis sur la politique à l'égard du Moyen-Orient.
