codes,wav_codes,transcript
1622,5895545146732980365.wav,"U.S. అధ్యక్షుడు, George W. Bush ఆ ప్రకటనతో ఏకీభవించారు."
1622,7147861329898567249.wav,"U.S. అధ్యక్షుడు, George W. Bush ఆ ప్రకటనతో ఏకీభవించారు."
1562,7673768465088337954.wav,"ఇది సాధారణ ఆచారంగా మారింది, కానీ ఇనుము బండ్ల యొక్క చెక్క చక్రాలపై మరింత అరుగుదల కలిగించింది."
1562,10455780686531859277.wav,"ఇది సాధారణ ఆచారంగా మారింది, కానీ ఇనుము బండ్ల యొక్క చెక్క చక్రాలపై మరింత అరుగుదల కలిగించింది."
1562,13290966131679054330.wav,"ఇది సాధారణ ఆచారంగా మారింది, కానీ ఇనుము బండ్ల యొక్క చెక్క చక్రాలపై మరింత అరుగుదల కలిగించింది."
1590,18291096371895393218.wav,"ఇక్కడి ప్రధాన స్థానిక బీర్ 'Number One', ఇది మంచి బీర్ కాదు, ఇది ఆహ్లాదకరం మరియు కొత్త ఉత్సహాన్ని కలిగిస్తుంది. ఇక్కడి మరో స్థానిక బీరును ""Manta"" అని పిలుస్తారు."
1513,1073990465254974841.wav,ప్రపంచంలోఅత్యుత్తమ పోలో జట్లలో మరియు క్రీడాకారులలో ఒకరిగా అర్జెంటీనా ప్రసిద్ధి చెందింది.
1524,16631971486461133981.wav,"మెట్రిక్ వ్యవస్థను వినియోగించడం, నియంతృత్వం నుండి ప్రజాప్రభుత్వ ధర్మానికి మారడం, జాతీయవాదం మరియు దేశం పాలకుడికి మాత్రమే కాకుండా ప్రజలకు కూడా చెందినది అని నమ్మడం వంటి సామాజిక మరియు రాజకీయ ప్రభావాలు చాలా ఉన్నాయి."
1524,12842301634423427917.wav,"మెట్రిక్ వ్యవస్థను వినియోగించడం, నియంతృత్వం నుండి ప్రజాప్రభుత్వ ధర్మానికి మారడం, జాతీయవాదం మరియు దేశం పాలకుడికి మాత్రమే కాకుండా ప్రజలకు కూడా చెందినది అని నమ్మడం వంటి సామాజిక మరియు రాజకీయ ప్రభావాలు చాలా ఉన్నాయి."
1525,9655441251681907683.wav,"విశాలమైన బౌలేవార్డ్లు, గాజు-ముందు భవనాలు ఇంకా ఆధునిక షాపింగ్ కేంద్రాలు సంప్రదాయ ఎరుపు-పెంకుల పైకప్పులతో, 18వ శతాబ్దపు మార్కెట్, పాత మసీదులు ఇంకా చర్చిలతో నిండి ఉన్నాయి, అయినప్పటికీ ఈ నగరం సంప్రదాయ టర్కీ కంటే మధ్యధరా ఐరోపాకంటే ఎక్కువ వాతావరణాన్ని కలిగి ఉంది."
1515,8280931612775164442.wav,గత 4 సంవత్సరాలలో వరుసగా ఐదవ సారి Martelly మెంబర్‌గా ఏర్పడిన CEP.
1515,9612110499543158730.wav,గత 4 సంవత్సరాలలో వరుసగా ఐదవ సారి Martelly మెంబర్‌గా ఏర్పడిన CEP.
1515,13095435438373566100.wav,గత 4 సంవత్సరాలలో వరుసగా ఐదవ సారి Martelly మెంబర్‌గా ఏర్పడిన CEP.
1643,8684909798557270524.wav,"ఈ పార్కు 19,500 km² విస్తీర్ణంలో ఉంది, మరియు 14 భిన్నమైన ఎకోజోన్‌లుగా విభజించబడింది, ఒక్కొకటి ప్రత్యేకమైన వన్యప్రాణులను కలిగి ఉంటుంది."
1643,8095748166957232223.wav,"ఈ పార్కు 19,500 km² విస్తీర్ణంలో ఉంది, మరియు 14 భిన్నమైన ఎకోజోన్‌లుగా విభజించబడింది, ఒక్కొకటి ప్రత్యేకమైన వన్యప్రాణులను కలిగి ఉంటుంది."
1549,15768531293470193219.wav,"ఈ సిద్ధాంతాలు వ్యక్తులకు నిర్దిష్ట  అవసరాలు మరియు/లేదా కోరికలు ఉంటాయని సూచిస్తున్నాయి, వారు యుక్తవయస్సుకి చేరుకునేటప్పటికి అంతర్గతంగా ఉంటాయి."
1549,9835495517270649407.wav,"ఈ సిద్ధాంతాలు వ్యక్తులకు నిర్దిష్ట  అవసరాలు మరియు/లేదా కోరికలు ఉంటాయని సూచిస్తున్నాయి, వారు యుక్తవయస్సుకి చేరుకునేటప్పటికి అంతర్గతంగా ఉంటాయి."
1561,9209031149386244039.wav,"చాలా జిల్లాలకు చిన్న జపనీస్ కోస్టర్ బస్సులు సేవలను అందిస్తున్నాయి, ఇవి సౌకర్యవంతంగా మరియు దృఢ నిర్మాణం కలిగి ఉండి చాలాకాలం మన్నుతాయి."
1561,16000040920331765798.wav,"చాలా జిల్లాలకు చిన్న జపనీస్ కోస్టర్ బస్సులు సేవలను అందిస్తున్నాయి, ఇవి సౌకర్యవంతంగా మరియు దృఢ నిర్మాణం కలిగి ఉండి చాలాకాలం మన్నుతాయి."
