codes,wav_codes,transcript
1520,8458516119676466650.wav,"2010 ਦੀਆਂ ਸੰਘੀ ਚੋਣਾਂ ਤੋਂ ਪਹਿਲਾਂ 1,400 ਲੋਕਾਂ ਵਿੱਚੋਂ, ਜਿਨ੍ਹਾਂ ਨੇ ਆਸਟ੍ਰੇਲੀਆ ਦੇ ਗਣਤੰਤਰ ਬਣਨ ਦਾ ਵਿਰੋਧ ਕੀਤਾ ਸੀ 2008 ਵਿੱਚ ਉਹਨਾਂ ਦੀ ਗਿਣਤੀ ਵਿੱਚ 8 ਪ੍ਰਤੀਸ਼ਤ ਦਾ ਵਾਧਾ ਹੋ ਗਿਆ।"
1520,11218397018962677416.wav,"2010 ਦੀਆਂ ਸੰਘੀ ਚੋਣਾਂ ਤੋਂ ਪਹਿਲਾਂ 1,400 ਲੋਕਾਂ ਵਿੱਚੋਂ, ਜਿਨ੍ਹਾਂ ਨੇ ਆਸਟ੍ਰੇਲੀਆ ਦੇ ਗਣਤੰਤਰ ਬਣਨ ਦਾ ਵਿਰੋਧ ਕੀਤਾ ਸੀ 2008 ਵਿੱਚ ਉਹਨਾਂ ਦੀ ਗਿਣਤੀ ਵਿੱਚ 8 ਪ੍ਰਤੀਸ਼ਤ ਦਾ ਵਾਧਾ ਹੋ ਗਿਆ।"
1520,1808245583271863418.wav,"2010 ਦੀਆਂ ਸੰਘੀ ਚੋਣਾਂ ਤੋਂ ਪਹਿਲਾਂ 1,400 ਲੋਕਾਂ ਵਿੱਚੋਂ, ਜਿਨ੍ਹਾਂ ਨੇ ਆਸਟ੍ਰੇਲੀਆ ਦੇ ਗਣਤੰਤਰ ਬਣਨ ਦਾ ਵਿਰੋਧ ਕੀਤਾ ਸੀ 2008 ਵਿੱਚ ਉਹਨਾਂ ਦੀ ਗਿਣਤੀ ਵਿੱਚ 8 ਪ੍ਰਤੀਸ਼ਤ ਦਾ ਵਾਧਾ ਹੋ ਗਿਆ।"
1526,9157907179871362788.wav,"ਜੇਕਰ ਤੁਸੀਂ ਸਰਦੀਆਂ ਵਿੱਚ ਇਕ ਆਰਕਟਿਕ ਜਾਂ ਅੰਟਾਰਕਟਿਕ ਖੇਤਰ ਦੀ ਯਾਤਰਾ ਕਰਦੇ ਹੋ, ਤਾਂ ਤੁਸੀਂ ਧਰੁਵੀ ਰਾਤ ਦਾ ਅਭਿਆਸ ਕਰੋਗੇ, ਜਿਸਦਾ ਅਰਥ ਹੈ ਕਿ ਸੂਰਜ ਦਿਗਮੰਡਲ ਤੋਂ ਉੱਪਰ ਨਹੀਂ ਉੱਠਦਾ ਹੈ।"
1526,17691138157745518539.wav,"ਜੇਕਰ ਤੁਸੀਂ ਸਰਦੀਆਂ ਵਿੱਚ ਇਕ ਆਰਕਟਿਕ ਜਾਂ ਅੰਟਾਰਕਟਿਕ ਖੇਤਰ ਦੀ ਯਾਤਰਾ ਕਰਦੇ ਹੋ, ਤਾਂ ਤੁਸੀਂ ਧਰੁਵੀ ਰਾਤ ਦਾ ਅਭਿਆਸ ਕਰੋਗੇ, ਜਿਸਦਾ ਅਰਥ ਹੈ ਕਿ ਸੂਰਜ ਦਿਗਮੰਡਲ ਤੋਂ ਉੱਪਰ ਨਹੀਂ ਉੱਠਦਾ ਹੈ।"
1526,3430321218591968503.wav,"ਜੇਕਰ ਤੁਸੀਂ ਸਰਦੀਆਂ ਵਿੱਚ ਇਕ ਆਰਕਟਿਕ ਜਾਂ ਅੰਟਾਰਕਟਿਕ ਖੇਤਰ ਦੀ ਯਾਤਰਾ ਕਰਦੇ ਹੋ, ਤਾਂ ਤੁਸੀਂ ਧਰੁਵੀ ਰਾਤ ਦਾ ਅਭਿਆਸ ਕਰੋਗੇ, ਜਿਸਦਾ ਅਰਥ ਹੈ ਕਿ ਸੂਰਜ ਦਿਗਮੰਡਲ ਤੋਂ ਉੱਪਰ ਨਹੀਂ ਉੱਠਦਾ ਹੈ।"
1593,352997724147388709.wav,"ਆਖਰਕਾਰ, ਲੱਕੜ ਦੇ ਪਹੀਏ ਦੀ ਜਗ੍ਹਾ ਲੋਹੇ ਦੇ ਪਹੀਏ ਨੇ ਲਈ ਲਈ। 1767 ਵਿੱਚ, ਪਹਿਲੀ ਪੂਰੀ-ਲੋਹੇ ਦੀਆਂ ਪਟੜੀਆਂ ਪੇਸ਼ ਕੀਤੀਆਂ ਗਈਆਂ।"
1622,4230440988673052642.wav,ਸੰਯੁਕਤ ਰਾਜ ਦੇ ਰਾਸ਼ਟਰਪਤੀ ਜਾਰਜ ਡਬਲਯੂ ਬੁਸ਼ ਨੇ ਘੋਸ਼ਣਾ ਦਾ ਸਵਾਗਤ ਕੀਤਾ।
1622,18240306485838012709.wav,ਸੰਯੁਕਤ ਰਾਜ ਦੇ ਰਾਸ਼ਟਰਪਤੀ ਜਾਰਜ ਡਬਲਯੂ ਬੁਸ਼ ਨੇ ਘੋਸ਼ਣਾ ਦਾ ਸਵਾਗਤ ਕੀਤਾ।
1622,17991404509717396190.wav,ਸੰਯੁਕਤ ਰਾਜ ਦੇ ਰਾਸ਼ਟਰਪਤੀ ਜਾਰਜ ਡਬਲਯੂ ਬੁਸ਼ ਨੇ ਘੋਸ਼ਣਾ ਦਾ ਸਵਾਗਤ ਕੀਤਾ।
