codes,wav_codes,transcript
1588,4699361043692079905.wav,"പോലീസ് പറയുന്നതനുസരിച്ച്, ഫോട്ടോഗ്രാഫറെ തട്ടിയ വാഹനത്തിന്റെ ഡ്രൈവർ ക്രിമിനൽ കേസ് നേരിടാൻ സാധ്യതയില്ല."
1588,14040818578467312056.wav,"പോലീസ് പറയുന്നതനുസരിച്ച്, ഫോട്ടോഗ്രാഫറെ തട്ടിയ വാഹനത്തിന്റെ ഡ്രൈവർ ക്രിമിനൽ കേസ് നേരിടാൻ സാധ്യതയില്ല."
1632,18440192758792110438.wav,"ഉപദ്രവിക്കലാണെന്ന് അവർ കരുതുന്ന സംഭവങ്ങളിലേക്ക് സാംസ്കാരിക വ്യത്യാസങ്ങൾ നയിച്ചേക്കാമെന്നും, പിന്തുടരുന്നതും കയ്യിൽ പിടിക്കുന്നതും തുടങ്ങിയ കാര്യങ്ങൾ അസാധാരണം അല്ലെന്നും സ്ത്രീകൾ തിരിച്ചറിയണം."
1632,4124464535300557233.wav,"ഉപദ്രവിക്കലാണെന്ന് അവർ കരുതുന്ന സംഭവങ്ങളിലേക്ക് സാംസ്കാരിക വ്യത്യാസങ്ങൾ നയിച്ചേക്കാമെന്നും, പിന്തുടരുന്നതും കയ്യിൽ പിടിക്കുന്നതും തുടങ്ങിയ കാര്യങ്ങൾ അസാധാരണം അല്ലെന്നും സ്ത്രീകൾ തിരിച്ചറിയണം."
1632,11851171521267700852.wav,"ഉപദ്രവിക്കലാണെന്ന് അവർ കരുതുന്ന സംഭവങ്ങളിലേക്ക് സാംസ്കാരിക വ്യത്യാസങ്ങൾ നയിച്ചേക്കാമെന്നും, പിന്തുടരുന്നതും കയ്യിൽ പിടിക്കുന്നതും തുടങ്ങിയ കാര്യങ്ങൾ അസാധാരണം അല്ലെന്നും സ്ത്രീകൾ തിരിച്ചറിയണം."
1513,17524535263017360980.wav,"ലോകത്തിലെ ഏറ്റവും നല്ല പോളോ ടീമുകളിൽ ഒന്നും, മികച്ച കളിക്കാരും അർജന്റീനക്കുണ്ട്."
1513,1657209205736547102.wav,"ലോകത്തിലെ ഏറ്റവും നല്ല പോളോ ടീമുകളിൽ ഒന്നും, മികച്ച കളിക്കാരും അർജന്റീനക്കുണ്ട്."
1513,9989953851987180936.wav,"ലോകത്തിലെ ഏറ്റവും നല്ല പോളോ ടീമുകളിൽ ഒന്നും, മികച്ച കളിക്കാരും അർജന്റീനക്കുണ്ട്."
1538,7493056361723210558.wav,പോയിന്റ് മരിയനും ഫെയർ‌മോണ്ടും തമ്മിലുള്ള ദൂരം ഒറ്റപ്പെട്ട ബാക്ക്‌വുഡ് ഭൂപ്രദേശങ്ങളിലൂടെ കടന്നുപോകുന്ന ബഫല്ലോ-പിറ്റ്സ്ബർഗ് ഹൈവേയിലെ ഏറ്റവും വെല്ലുവിളി നിറഞ്ഞ ഡ്രൈവിംഗ് സാഹചര്യങ്ങൾ സൃഷ്ടിക്കുന്നു.
1538,11150828812905750569.wav,പോയിന്റ് മരിയനും ഫെയർ‌മോണ്ടും തമ്മിലുള്ള ദൂരം ഒറ്റപ്പെട്ട ബാക്ക്‌വുഡ് ഭൂപ്രദേശങ്ങളിലൂടെ കടന്നുപോകുന്ന ബഫല്ലോ-പിറ്റ്സ്ബർഗ് ഹൈവേയിലെ ഏറ്റവും വെല്ലുവിളി നിറഞ്ഞ ഡ്രൈവിംഗ് സാഹചര്യങ്ങൾ സൃഷ്ടിക്കുന്നു.
1538,10132261924607763748.wav,പോയിന്റ് മരിയനും ഫെയർ‌മോണ്ടും തമ്മിലുള്ള ദൂരം ഒറ്റപ്പെട്ട ബാക്ക്‌വുഡ് ഭൂപ്രദേശങ്ങളിലൂടെ കടന്നുപോകുന്ന ബഫല്ലോ-പിറ്റ്സ്ബർഗ് ഹൈവേയിലെ ഏറ്റവും വെല്ലുവിളി നിറഞ്ഞ ഡ്രൈവിംഗ് സാഹചര്യങ്ങൾ സൃഷ്ടിക്കുന്നു.
1603,17571032581508371434.wav,"ആഭ്യന്തര, സൈനിക പ്രവർത്തനങ്ങൾക്കായി മോശമായി പരിപാലിക്കപ്പെട്ടതും പഴക്കം ചെന്നതുമായ വിമാനങ്ങൾ ഉപയോഗിക്കുന്ന ഇറാനിൽ വ്യോമ അപകടങ്ങൾ സാധാരണമാണ്."
1603,17983457388264253077.wav,"ആഭ്യന്തര, സൈനിക പ്രവർത്തനങ്ങൾക്കായി മോശമായി പരിപാലിക്കപ്പെട്ടതും പഴക്കം ചെന്നതുമായ വിമാനങ്ങൾ ഉപയോഗിക്കുന്ന ഇറാനിൽ വ്യോമ അപകടങ്ങൾ സാധാരണമാണ്."
1603,4704057085871480081.wav,"ആഭ്യന്തര, സൈനിക പ്രവർത്തനങ്ങൾക്കായി മോശമായി പരിപാലിക്കപ്പെട്ടതും പഴക്കം ചെന്നതുമായ വിമാനങ്ങൾ ഉപയോഗിക്കുന്ന ഇറാനിൽ വ്യോമ അപകടങ്ങൾ സാധാരണമാണ്."
1521,9074300694947532501.wav,ബഹിരാകാശ ഉപഗ്രഹത്തിന് കോൾ ലഭിക്കുകയും തൽക്ഷണം താഴേക്ക് കൈമാറുകയും ചെയ്യുന്നു.
1521,12641520938384550145.wav,ബഹിരാകാശ ഉപഗ്രഹത്തിന് കോൾ ലഭിക്കുകയും തൽക്ഷണം താഴേക്ക് കൈമാറുകയും ചെയ്യുന്നു.
1521,9393528555277854391.wav,ബഹിരാകാശ ഉപഗ്രഹത്തിന് കോൾ ലഭിക്കുകയും തൽക്ഷണം താഴേക്ക് കൈമാറുകയും ചെയ്യുന്നു.
1636,2118558089323673959.wav,"സ്പാനിഷ് വംശജർ കോളനിവത്ക്കരണ കാലഘട്ടത്തിന് തുടക്കമിട്ടു,ഇത് മൂന്ന് നൂറ്റാണ്ടുകളോളം നീണ്ടുനിന്നു."
1636,11411170303119605873.wav,"സ്പാനിഷ് വംശജർ കോളനിവത്ക്കരണ കാലഘട്ടത്തിന് തുടക്കമിട്ടു,ഇത് മൂന്ന് നൂറ്റാണ്ടുകളോളം നീണ്ടുനിന്നു."
1636,1689640773290469530.wav,"സ്പാനിഷ് വംശജർ കോളനിവത്ക്കരണ കാലഘട്ടത്തിന് തുടക്കമിട്ടു,ഇത് മൂന്ന് നൂറ്റാണ്ടുകളോളം നീണ്ടുനിന്നു."
1564,11589644180524018789.wav,"ഡോക്ടർ മോൾ കരുതുന്നത് ചില രോഗികൾക്ക് ആശുപത്രിയിൽ വെച്ചാവാം വൈറസ് ബാധിച്ചതെന്നാണ്, കൂടാതെ കുറഞ്ഞത് രണ്ട് പേരെങ്കിലും ആശുപത്രിയിലെ ആരോഗ്യപ്രവർത്തകരായിരുന്നു."
1564,2399802684598041404.wav,"ഡോക്ടർ മോൾ കരുതുന്നത് ചില രോഗികൾക്ക് ആശുപത്രിയിൽ വെച്ചാവാം വൈറസ് ബാധിച്ചതെന്നാണ്, കൂടാതെ കുറഞ്ഞത് രണ്ട് പേരെങ്കിലും ആശുപത്രിയിലെ ആരോഗ്യപ്രവർത്തകരായിരുന്നു."
