codes,wav_codes,transcript
1535,3028647999945134503.wav,"O ṣe àmúlò ìmọ̀ ẹ̀rọ tí orísun rè jẹ́ sátáláìtì, èyí tí o yàtò sí àfiwé ìmọ̀ ẹ̀rọ orílẹ̀ àtijó láti fi àyè gba àwọn adarí láti tọ́ka sí ọkọ̀ òfuurufú ní pàtó àti láti fún àwọn awako ní àwọn iròyìn tó ṣe déédéé ."
1535,160990733573467810.wav,"O ṣe àmúlò ìmọ̀ ẹ̀rọ tí orísun rè jẹ́ sátáláìtì, èyí tí o yàtò sí àfiwé ìmọ̀ ẹ̀rọ orílẹ̀ àtijó láti fi àyè gba àwọn adarí láti tọ́ka sí ọkọ̀ òfuurufú ní pàtó àti láti fún àwọn awako ní àwọn iròyìn tó ṣe déédéé ."
1580,12603252110970093678.wav,"Káàkiri orílẹ̀èdè America, ìṣẹ̀lẹ̀ àìsàn ọpọlọ àti ògóró ẹ̀yìn (MS) tí ó tó irinwó ẹgbẹ̀rún, èyí tí ó mún un di àìsàn tó nííse pẹ̀lú ọpọlọ láàrin àwọn ọ̀dọ́ àti àwọn tí ó wà ní agbedeméjì ọjọ́ orí tí ó pọ̀jù lọ ní ìwádìí ti fìdi rẹ̀ múnlẹ̀."
1580,15771414182875154991.wav,"Káàkiri orílẹ̀èdè America, ìṣẹ̀lẹ̀ àìsàn ọpọlọ àti ògóró ẹ̀yìn (MS) tí ó tó irinwó ẹgbẹ̀rún, èyí tí ó mún un di àìsàn tó nííse pẹ̀lú ọpọlọ láàrin àwọn ọ̀dọ́ àti àwọn tí ó wà ní agbedeméjì ọjọ́ orí tí ó pọ̀jù lọ ní ìwádìí ti fìdi rẹ̀ múnlẹ̀."
1605,15195957611475083378.wav,"Látàrí ọ̀nà jínjìn láti kọ́ńtìnẹ̀ntì, àwọn ẹranko abìyẹ́ kò lè bá ìrìnàjò,èyí tó mún kí ìjàpá ńlá jẹ́ ẹranko ìwá oúnjẹ nínú Galapagos."
1605,5543437389048420617.wav,"Látàrí ọ̀nà jínjìn láti kọ́ńtìnẹ̀ntì, àwọn ẹranko abìyẹ́ kò lè bá ìrìnàjò,èyí tó mún kí ìjàpá ńlá jẹ́ ẹranko ìwá oúnjẹ nínú Galapagos."
1605,6231933796152954220.wav,"Látàrí ọ̀nà jínjìn láti kọ́ńtìnẹ̀ntì, àwọn ẹranko abìyẹ́ kò lè bá ìrìnàjò,èyí tó mún kí ìjàpá ńlá jẹ́ ẹranko ìwá oúnjẹ nínú Galapagos."
1552,11319776786978163365.wav,Èsì yíya àwòrán yíò jáde sórí ìtàkùn ayélujára o ní gbogbogbò.
1552,17636364187613787436.wav,Èsì yíya àwòrán yíò jáde sórí ìtàkùn ayélujára o ní gbogbogbò.
1552,3850910019375982857.wav,Èsì yíya àwòrán yíò jáde sórí ìtàkùn ayélujára o ní gbogbogbò.
1653,11345973564169111292.wav,"Ní àjọsepọ̀ pẹ̀lú NPWS àti ẹgbẹ́ Sporting Shooters Association of Australia (NSW) Inc, wọ́n gba àwọn olùfínúfíndọ̀ tó pegedé lábẹ́ ètò ìdọdẹ ẹgbẹ́ Sporting Shooters Association."
1519,17014649390325875273.wav,"Ni opolopo igba, fifi oruko sile fun iwe kika olodun kan ni ilu oba le je ona si igbega lati koja si ile iwe giga nigba to ba pada si orile’de abinibi re."
1519,8671813822425740159.wav,"Ni opolopo igba, fifi oruko sile fun iwe kika olodun kan ni ilu oba le je ona si igbega lati koja si ile iwe giga nigba to ba pada si orile’de abinibi re."
1529,8961764582415840991.wav,"Tẹ́lẹ̀rí, olùdarí àgbà iléeṣẹ́ Ring, Jamie Siminoff ní iléeṣẹ́ náà bẹ̀rẹ̀ iṣẹ́ nígbà tí aago ẹnu ọ̀nà òhun kò dún sókè látinú ṣọ́ọ̀bù dé inú gáràjì."
1529,10876556350863591383.wav,"Tẹ́lẹ̀rí, olùdarí àgbà iléeṣẹ́ Ring, Jamie Siminoff ní iléeṣẹ́ náà bẹ̀rẹ̀ iṣẹ́ nígbà tí aago ẹnu ọ̀nà òhun kò dún sókè látinú ṣọ́ọ̀bù dé inú gáràjì."
1577,15723919215368068056.wav,Ìyẹn ò ní ìtunmọ̀ sí mi; dájúdájú kò dára.
1577,4486842935605177939.wav,Ìyẹn ò ní ìtunmọ̀ sí mi; dájúdájú kò dára.
1577,7083571035554214080.wav,Ìyẹn ò ní ìtunmọ̀ sí mi; dájúdájú kò dára.
1596,11379605972125813608.wav,"Áfojùsún àwọn alámòdájú àti onímòyẹ ní àwọn ìwé àbáláyé, àti ní pàtàkì, ti Bíbélì àti èdè Latini."
1596,15245877331316831008.wav,"Áfojùsún àwọn alámòdájú àti onímòyẹ ní àwọn ìwé àbáláyé, àti ní pàtàkì, ti Bíbélì àti èdè Latini."
1596,7301333420324649489.wav,"Áfojùsún àwọn alámòdájú àti onímòyẹ ní àwọn ìwé àbáláyé, àti ní pàtàkì, ti Bíbélì àti èdè Latini."
1563,4552871105289319618.wav,"Àwọn aṣàwárí dalábàá pé, bí ètí bá jẹ́ ìrù ọmọ dinosaur, àpẹrẹ rẹ̀ ṣàfihàn ti àgbàlagbà kìn ṣe ti ọmọdé."
1563,7306696888137290325.wav,"Àwọn aṣàwárí dalábàá pé, bí ètí bá jẹ́ ìrù ọmọ dinosaur, àpẹrẹ rẹ̀ ṣàfihàn ti àgbàlagbà kìn ṣe ti ọmọdé."
1563,14513841562624714989.wav,"Àwọn aṣàwárí dalábàá pé, bí ètí bá jẹ́ ìrù ọmọ dinosaur, àpẹrẹ rẹ̀ ṣàfihàn ti àgbàlagbà kìn ṣe ti ọmọdé."
1557,13644378868913842372.wav,"Lẹ́yìn wíwo ìbẹ̀rù àti oríṣìí aburú tí ogun àgbáyé àkọ̀kọ́ fa, gbogbo àgbáyé ti ń gbìyànjú láti yẹra fún irú ìṣẹlẹ̀ aburu bẹ́ẹ̀ ni ọjọ́ iwáj."
1557,10944041843075316934.wav,"Lẹ́yìn wíwo ìbẹ̀rù àti oríṣìí aburú tí ogun àgbáyé àkọ̀kọ́ fa, gbogbo àgbáyé ti ń gbìyànjú láti yẹra fún irú ìṣẹlẹ̀ aburu bẹ́ẹ̀ ni ọjọ́ iwáj."
1647,14250921357177803264.wav,"Àwọn ìwòye tí wọ́n gbé kalẹ̀ lọ́pọ̀ ìgbà kì í kún tó, ó má ń jẹ́ ti gbogbogbò tàbí kó ti rọrùn jù tí a bá gbé e ti àwọn àlàyé tó kún rẹ́rẹ́ níbòmíràn."
1647,10535525122808218174.wav,"Àwọn ìwòye tí wọ́n gbé kalẹ̀ lọ́pọ̀ ìgbà kì í kún tó, ó má ń jẹ́ ti gbogbogbò tàbí kó ti rọrùn jù tí a bá gbé e ti àwọn àlàyé tó kún rẹ́rẹ́ níbòmíràn."
1647,3107557382783108464.wav,"Àwọn ìwòye tí wọ́n gbé kalẹ̀ lọ́pọ̀ ìgbà kì í kún tó, ó má ń jẹ́ ti gbogbogbò tàbí kó ti rọrùn jù tí a bá gbé e ti àwọn àlàyé tó kún rẹ́rẹ́ níbòmíràn."
1624,9437738824838475412.wav,Àwọn ojú ọ̀nà omi abẹ́lé lè jẹ́ àkolé tó dára láti gbé ìsinmi lẹ́nu iṣẹ́ lé lórí.
