codes,wav_codes,transcript
1556,3889323025450542984.wav,"Hatiminsa na 1,000 ya kasance mafi kyawun “Maɗaukakan Ayyuka na Sarakunan Sweden” da David Klocker Ehrenstrahi ya yi a shekarar 2000, wanda aka sanya a cikin Littafin Bayanan Al’ajabi na Guinness."
1594,8687117640580294814.wav,"Wasu dabbobi, kamar giwaye da raƙuman dawa, su kan je kusa da motoci kuma na’ura mai kyau za ta ba da damar kallo sosai."
1594,12634293144925737106.wav,"Wasu dabbobi, kamar giwaye da raƙuman dawa, su kan je kusa da motoci kuma na’ura mai kyau za ta ba da damar kallo sosai."
1659,12336211505528858400.wav,Masana kimiyya sun ce fashewar da hatsarin ya haifar na da girma.
1659,2447304650215947023.wav,Masana kimiyya sun ce fashewar da hatsarin ya haifar na da girma.
1659,14461232072746579763.wav,Masana kimiyya sun ce fashewar da hatsarin ya haifar na da girma.
1566,791998331769275767.wav,Duk da haka kashi tamanin cikin kayan mu sun samu haraji a kasashen Amurka ta tsakiya. Zamu kula da kai.
1566,10936740582099403670.wav,Duk da haka kashi tamanin cikin kayan mu sun samu haraji a kasashen Amurka ta tsakiya. Zamu kula da kai.
1599,3323069946776099433.wav,"Asalin al’umman basu canza ba ko kadan, suna bukatan karbuwa kamar da."
1557,11675716407186208901.wav,"Bayan ganin munanan abubuwa da munanan yaƙe-yaƙe yayin Yaƙin Duniya na ɗaya, al'ummomi sun so su guje wa irin wannan yanayin a nan gaba."
1557,6073524892853239743.wav,"Bayan ganin munanan abubuwa da munanan yaƙe-yaƙe yayin Yaƙin Duniya na ɗaya, al'ummomi sun so su guje wa irin wannan yanayin a nan gaba."
1597,1541184685424669120.wav,Ana iya musayar kudi a banki daya kaɗai da ke tsibiran wanda ke ketaren Stanley daga shagon FIC West.
1597,12228230934758213565.wav,Ana iya musayar kudi a banki daya kaɗai da ke tsibiran wanda ke ketaren Stanley daga shagon FIC West.
1597,16156794009776520001.wav,Ana iya musayar kudi a banki daya kaɗai da ke tsibiran wanda ke ketaren Stanley daga shagon FIC West.
1574,12821346283006751854.wav,"Lokacin hunturu na iya zama mai sanyida wasa-wasa: yanayin zafi ba safai ake yin sanyi ba, amma iska da zafi suna haduwa don sanya shi jin sanyi fiye da abin da ma'aunin zafi da sanyio ya fada."
1574,16837779844286436003.wav,"Lokacin hunturu na iya zama mai sanyida wasa-wasa: yanayin zafi ba safai ake yin sanyi ba, amma iska da zafi suna haduwa don sanya shi jin sanyi fiye da abin da ma'aunin zafi da sanyio ya fada."
1598,4291910229358659688.wav,"Kodayake mutane uku ke ciki lokacin da motar ta yi karo da gidan, amma ba wanda da ya ji rauni a cikinsu."
1598,7235402425852219988.wav,"Kodayake mutane uku ke ciki lokacin da motar ta yi karo da gidan, amma ba wanda da ya ji rauni a cikinsu."
1591,16535298776389763737.wav,"Tsohon kakakin majalisar Newt Gingrich, gwamnan Texas Rick Perry, da uwargidan majalisar wakilai, Michele Bachmann sun gama a mataki na hudu, na biyar, da na shida, bi da bi."
1591,11128877153935247319.wav,"Tsohon kakakin majalisar Newt Gingrich, gwamnan Texas Rick Perry, da uwargidan majalisar wakilai, Michele Bachmann sun gama a mataki na hudu, na biyar, da na shida, bi da bi."
1602,15220802039005639660.wav,"Babban abincin, kamar na yankuna masu kama da wannan a cikin Bahar Rum, ya dogara ne akan burodi, kayan lambu da nama (musamman alade), kuma yana amfani da man zaitun ko'ina."
1602,6174041664274019128.wav,"Babban abincin, kamar na yankuna masu kama da wannan a cikin Bahar Rum, ya dogara ne akan burodi, kayan lambu da nama (musamman alade), kuma yana amfani da man zaitun ko'ina."
1531,4166287991643015458.wav,Tsibiran Gabashin Afirka suna cikin Tekun India kusa da gaɓar gabashin Afirka.
1531,10674933498692553496.wav,Tsibiran Gabashin Afirka suna cikin Tekun India kusa da gaɓar gabashin Afirka.
1654,6773232422460023440.wav,"Ban sani ba ko kun gane shi ko a'a, amma yawancin kayayyaki daga Amurka ta Tsakiya sun shigo wannan ƙasa ba tare da biyan haraji ba."
1654,15114527459146369969.wav,"Ban sani ba ko kun gane shi ko a'a, amma yawancin kayayyaki daga Amurka ta Tsakiya sun shigo wannan ƙasa ba tare da biyan haraji ba."
1519,12668233789172462271.wav,A lokuta da dama shiga/fara kwas na ratan shekara guda a ketare zai iya inganta damammakinka na kara nosawa gaba a karatu idan ka dawo kasar haihuwarka.
1519,12336833452099095817.wav,A lokuta da dama shiga/fara kwas na ratan shekara guda a ketare zai iya inganta damammakinka na kara nosawa gaba a karatu idan ka dawo kasar haihuwarka.
1519,18276420967569166712.wav,A lokuta da dama shiga/fara kwas na ratan shekara guda a ketare zai iya inganta damammakinka na kara nosawa gaba a karatu idan ka dawo kasar haihuwarka.
1547,10493053480703738801.wav,NHK ta kuma ruwaito cewa masana’antar samar da makamashin nukiliya ta Kashiwazaki Kariwa a gundumar Niigata tana aiki yadda yakamata.
1547,9974536791116641733.wav,NHK ta kuma ruwaito cewa masana’antar samar da makamashin nukiliya ta Kashiwazaki Kariwa a gundumar Niigata tana aiki yadda yakamata.
1644,3551301130676654337.wav,"Da aka nemi tsokacinsa, sai Miller ya ce, “Mike ya yi magana da yawa lokacin zaman jin ba’asin...ina kan shiri saboda haka ban saurari abin da yake cewa ba.”"
1644,6836868471472081706.wav,"Da aka nemi tsokacinsa, sai Miller ya ce, “Mike ya yi magana da yawa lokacin zaman jin ba’asin...ina kan shiri saboda haka ban saurari abin da yake cewa ba.”"
1515,6310535045633419125.wav,Shi ne CEP Matelly na biyar cikin shekara hudu.
1515,13379133189250563433.wav,Shi ne CEP Matelly na biyar cikin shekara hudu.
1515,522663210087373586.wav,Shi ne CEP Matelly na biyar cikin shekara hudu.
1552,3148356310742797161.wav,Sakamakon binciken makirci za'a sanya shi zuwa gidan yanar gizon jama'a.
1573,10821153721925056044.wav,"Wayar tauraron dan adam a gaba daya ba za ta maye gurbin wayar hannu ba, domin sai kun kasance a waje tare da yin saiti da tauraron dan adam don yin kiran da wayar."
1573,9955170783721862516.wav,"Wayar tauraron dan adam a gaba daya ba za ta maye gurbin wayar hannu ba, domin sai kun kasance a waje tare da yin saiti da tauraron dan adam don yin kiran da wayar."
1573,17595088736786209758.wav,"Wayar tauraron dan adam a gaba daya ba za ta maye gurbin wayar hannu ba, domin sai kun kasance a waje tare da yin saiti da tauraron dan adam don yin kiran da wayar."
1642,11588977354727341485.wav,Kuɗaɗen ɗaukar nauyin yaƙi na mulkin mallakar Amurka a yakin mallake Philippines mutanen Phillippines ne da kansu suka biya.
1642,2544641013525608831.wav,Kuɗaɗen ɗaukar nauyin yaƙi na mulkin mallakar Amurka a yakin mallake Philippines mutanen Phillippines ne da kansu suka biya.
1642,8522657855805048380.wav,Kuɗaɗen ɗaukar nauyin yaƙi na mulkin mallakar Amurka a yakin mallake Philippines mutanen Phillippines ne da kansu suka biya.
1601,6637323584425426367.wav,Masana ilimin kimiyya suna tunanin cewa ocelots na bin dabbobi da kama su ta hanyar sansanar sawun inda su ka bi su ka wuce.
1601,2842168030319628008.wav,Masana ilimin kimiyya suna tunanin cewa ocelots na bin dabbobi da kama su ta hanyar sansanar sawun inda su ka bi su ka wuce.
1601,8879794443394670859.wav,Masana ilimin kimiyya suna tunanin cewa ocelots na bin dabbobi da kama su ta hanyar sansanar sawun inda su ka bi su ka wuce.
1568,12242237008463453924.wav,"Kodayake ana amfani da shi ko'ina, musamman tsakanin waɗanda ba Romani ba, kalmar “Gypsy” galibi ana ɗaukarta abin ƙyama ne saboda ƙungiyoyinta da ra'ayoyi marasa kyau da ra'ayoyi marasa kyau game da mutanen Romani."
1568,7288982733734922072.wav,"Kodayake ana amfani da shi ko'ina, musamman tsakanin waɗanda ba Romani ba, kalmar “Gypsy” galibi ana ɗaukarta abin ƙyama ne saboda ƙungiyoyinta da ra'ayoyi marasa kyau da ra'ayoyi marasa kyau game da mutanen Romani."
