codes,wav_codes,transcript
1643,13844372169961791925.wav,"Ppaaka emalirawo ddala ekitundu kya 19,500 km² era egabanyizidwamu zooni endala entonotono, nga zonna ziwagira ebisolo byomunsiko byanjawulo."
1616,3105455843559860091.wav,Sayansi kati alaga nti binno ebyenfuna ebiccupulidwa ennyo bikyuusizanyo abantu webabeera okuva ku mbeera etebenkedde ekiyambye ku kujja kwabantu okumala emyaaka obukadde bubiri.
1616,2660363368458473563.wav,Sayansi kati alaga nti binno ebyenfuna ebiccupulidwa ennyo bikyuusizanyo abantu webabeera okuva ku mbeera etebenkedde ekiyambye ku kujja kwabantu okumala emyaaka obukadde bubiri.
1616,7699615996087148123.wav,Sayansi kati alaga nti binno ebyenfuna ebiccupulidwa ennyo bikyuusizanyo abantu webabeera okuva ku mbeera etebenkedde ekiyambye ku kujja kwabantu okumala emyaaka obukadde bubiri.
1581,8260848420785354978.wav,"Omugga Amazon era gwe gusinga obugazi ku nsi yonna, awamu, obugazi buwera mailo mukaaga."
1600,1578751347453481964.wav,"Ebyokkola nga otuuse mu kifo ebyokulabirako nga mw’otwalidde okuyigga, okuvuba, okkuba ebifaananyi, okulaba ebinyonyi, nokulambula ebisolo (paaka) n’okusoma ebikwaata ku nsi."
1600,4594422501339007319.wav,"Ebyokkola nga otuuse mu kifo ebyokulabirako nga mw’otwalidde okuyigga, okuvuba, okkuba ebifaananyi, okulaba ebinyonyi, nokulambula ebisolo (paaka) n’okusoma ebikwaata ku nsi."
1532,5740926540544659373.wav,"Essowaani 108 eza Chhappan Bhog ( mu Ddiini y’abayindi, ebintu 56 ebyenjawulo ebyokulya, nga, swiiti, ebibala, ebinyebwa, enva n’ebirala bingi. Ebiweredwa yo okuliibwa) byagabulwa eri Baba Shyam."
1532,15102328049348810584.wav,"Essowaani 108 eza Chhappan Bhog ( mu Ddiini y’abayindi, ebintu 56 ebyenjawulo ebyokulya, nga, swiiti, ebibala, ebinyebwa, enva n’ebirala bingi. Ebiweredwa yo okuliibwa) byagabulwa eri Baba Shyam."
1526,9587971081899786568.wav,"Bw'okyalira ebitundu bya Arctic oba Antarctic mu biseera by'obunyogovu ojja kulaba ekiro ekitangaavu, ekitegeeza nti omusana teguva waggulu w'ensi."
