codes,wav_codes,transcript
1542,379294024678694606.wav,"புஷ்ஷின் பிரதிநிதி பேச்சாளர் கார்டன் ஜான்ட்ரோ வட கொரியாவின் உறுதிமொழியை "" கொரியத் தீவு அணு ஆயுத நீக்கம் பரிசீலனை செய்யப்படும் இலக்கை அடைவதற்கான முக்கிய நடவடிக்கை"" என அழைத்தார்."
1587,1136908823578381036.wav,இந்த பருவத்தின் முதல் நோய் பற்றிய தகவல் ஜூலை இறுதியில் பதிவு செய்யப்பட்டது.
1587,9763503986265847391.wav,இந்த பருவத்தின் முதல் நோய் பற்றிய தகவல் ஜூலை இறுதியில் பதிவு செய்யப்பட்டது.
1587,262589605644659320.wav,இந்த பருவத்தின் முதல் நோய் பற்றிய தகவல் ஜூலை இறுதியில் பதிவு செய்யப்பட்டது.
1524,16206839048843919787.wav,"மெட்ரிக் முறையின் உபயோகம், சர்வாதிகாரத்திலிருந்து குடியரசிற்கு மாற்றம், தேசியவாதம் மற்றும் நாடு தனி ஒருவரை மட்டும் சார்ந்ததல்ல, மக்களைச் சார்ந்தது என்ற நம்பிக்கை போன்ற மக்கபல சமூக மற்றும் அரசியல் விளைவுகள் உள்ளன."
1522,7749003704635334718.wav,"உண்மைக்கு நிகரான களப் பயணங்களின் மூலம் தொழில்நுட்பமானது  தீர்வு வழங்குகிறது. மாணவர்கள் அருங்காட்சியக கலைப்பொருட்களைப் பார்க்கலாம், ஒரு மீன் காட்சியகத்தைப் பார்வையிடலாம் அல்லது தங்கள் வகுப்பில் உட்கார்ந்துக்கொண்டே அழகான கலையைப் பாராட்டலாம்."
1522,2206461015650681139.wav,"உண்மைக்கு நிகரான களப் பயணங்களின் மூலம் தொழில்நுட்பமானது  தீர்வு வழங்குகிறது. மாணவர்கள் அருங்காட்சியக கலைப்பொருட்களைப் பார்க்கலாம், ஒரு மீன் காட்சியகத்தைப் பார்வையிடலாம் அல்லது தங்கள் வகுப்பில் உட்கார்ந்துக்கொண்டே அழகான கலையைப் பாராட்டலாம்."
1522,1907741328592672024.wav,"உண்மைக்கு நிகரான களப் பயணங்களின் மூலம் தொழில்நுட்பமானது  தீர்வு வழங்குகிறது. மாணவர்கள் அருங்காட்சியக கலைப்பொருட்களைப் பார்க்கலாம், ஒரு மீன் காட்சியகத்தைப் பார்வையிடலாம் அல்லது தங்கள் வகுப்பில் உட்கார்ந்துக்கொண்டே அழகான கலையைப் பாராட்டலாம்."
1653,5192052332409670314.wav,"என்பிடபிள்யூஎஸ் மற்றும் ஸ்போர்டிங் ஷூட்டர்ஸ் அசோசியேஷன் ஆஸ்ட்ரேலியா (என்எஸ்டபிள்யூ) இங்க், ஆகியவைகளின் கூட்டுறவில், ஸ்போர்டிங் ஷூட்டர்ஸ் அசோசியேஷனின் ஹண்டிங் திட்டத்தின் கீழ், தகுதி பெற்ற தன்னார்வலர்கள் பணிக்கு அமர்த்தப்பட்டனர்."
1653,645860764391770470.wav,"என்பிடபிள்யூஎஸ் மற்றும் ஸ்போர்டிங் ஷூட்டர்ஸ் அசோசியேஷன் ஆஸ்ட்ரேலியா (என்எஸ்டபிள்யூ) இங்க், ஆகியவைகளின் கூட்டுறவில், ஸ்போர்டிங் ஷூட்டர்ஸ் அசோசியேஷனின் ஹண்டிங் திட்டத்தின் கீழ், தகுதி பெற்ற தன்னார்வலர்கள் பணிக்கு அமர்த்தப்பட்டனர்."
1630,4761534086102036867.wav,மெக்ஸிகோவின் ஆர்லி வேலஸ்கெஸ் ஆண்களுக்கான உட்காரும் சூப்பர் ஜி போட்டியில் பதினைந்தாவதாக முடித்தார். நியுஜிலாந்தின் ஆடம் ஹில் ஆண்களுக்கான நிற்கும் சூப்பர் ஜி போட்டியில் ஒன்பதாவதாக முடித்தார்.
1630,3900527910925513472.wav,மெக்ஸிகோவின் ஆர்லி வேலஸ்கெஸ் ஆண்களுக்கான உட்காரும் சூப்பர் ஜி போட்டியில் பதினைந்தாவதாக முடித்தார். நியுஜிலாந்தின் ஆடம் ஹில் ஆண்களுக்கான நிற்கும் சூப்பர் ஜி போட்டியில் ஒன்பதாவதாக முடித்தார்.
1630,4166981283743399408.wav,மெக்ஸிகோவின் ஆர்லி வேலஸ்கெஸ் ஆண்களுக்கான உட்காரும் சூப்பர் ஜி போட்டியில் பதினைந்தாவதாக முடித்தார். நியுஜிலாந்தின் ஆடம் ஹில் ஆண்களுக்கான நிற்கும் சூப்பர் ஜி போட்டியில் ஒன்பதாவதாக முடித்தார்.
1576,3612726185408671933.wav,"ஒரு பாடநெறி, பொதுவாக நடைமுறை அனுபவத்துடன், இங்கே விவாதிக்கப்பட்ட அனைத்து பிரச்சனைகளையும் மிகவும் விரிவாகக் கொண்டிருக்கும்."
1576,9524504335725750172.wav,"ஒரு பாடநெறி, பொதுவாக நடைமுறை அனுபவத்துடன், இங்கே விவாதிக்கப்பட்ட அனைத்து பிரச்சனைகளையும் மிகவும் விரிவாகக் கொண்டிருக்கும்."
1576,18316006411456302439.wav,"ஒரு பாடநெறி, பொதுவாக நடைமுறை அனுபவத்துடன், இங்கே விவாதிக்கப்பட்ட அனைத்து பிரச்சனைகளையும் மிகவும் விரிவாகக் கொண்டிருக்கும்."
1580,17054064258094128842.wav,"ஐக்கிய அமெரிக்க நாடுகள் முழுவதிலும் உள்ள தோராயமாக 400,000 தெரிந்த மல்டிபுள் ஸ்களிரோஸிஸ் (MS) வழக்குகள், அதை இளைய மற்றும் நடுத்தர வயதினரிடையே உள்ள முன்னணி நரம்பு நோயாக ஆக்குகிறது."
1580,15008167279255964149.wav,"ஐக்கிய அமெரிக்க நாடுகள் முழுவதிலும் உள்ள தோராயமாக 400,000 தெரிந்த மல்டிபுள் ஸ்களிரோஸிஸ் (MS) வழக்குகள், அதை இளைய மற்றும் நடுத்தர வயதினரிடையே உள்ள முன்னணி நரம்பு நோயாக ஆக்குகிறது."
1528,1280309695090590342.wav,சில திருவிழாக்களில் சிறிய குழந்தைகள் கொண்ட குடும்பத்தினருக்கு விசேஷ கேம்பிங் இடம் இருக்கும்.
1528,7716665252290123552.wav,சில திருவிழாக்களில் சிறிய குழந்தைகள் கொண்ட குடும்பத்தினருக்கு விசேஷ கேம்பிங் இடம் இருக்கும்.
1528,8349889116003348353.wav,சில திருவிழாக்களில் சிறிய குழந்தைகள் கொண்ட குடும்பத்தினருக்கு விசேஷ கேம்பிங் இடம் இருக்கும்.
1627,8187753299335308408.wav,"புராதன ரோமானியர்களின் உணவுகளில் , ஐரோப்பாவிற்கு ஆசியாவிலிருந்தோ அமெரிக்காவிலிருந்தோ பல நூற்றாண்டுகள் பின்னர் வந்த உணவுகள் இடம் பெற்றிருக்க முடியாது."
1590,12937138404817402023.wav,"முக்கிய உள்ளூர் பீர் 'நம்பர் ஒன்', இது ஒரு சிக்கலான பீர் அல்ல, ஆனால் இனிமையான மற்றும் புத்துணர்ச்சியூட்டும். மற்ற உள்ளூர் பீர் ""மந்தா"" என்று அழைக்கப்படுகிறது."
1590,13833483275561812787.wav,"முக்கிய உள்ளூர் பீர் 'நம்பர் ஒன்', இது ஒரு சிக்கலான பீர் அல்ல, ஆனால் இனிமையான மற்றும் புத்துணர்ச்சியூட்டும். மற்ற உள்ளூர் பீர் ""மந்தா"" என்று அழைக்கப்படுகிறது."
1590,1454074342028860837.wav,"முக்கிய உள்ளூர் பீர் 'நம்பர் ஒன்', இது ஒரு சிக்கலான பீர் அல்ல, ஆனால் இனிமையான மற்றும் புத்துணர்ச்சியூட்டும். மற்ற உள்ளூர் பீர் ""மந்தா"" என்று அழைக்கப்படுகிறது."
1555,10779906859699157578.wav,"தேவாலயத்தில், சில கல்லறைகளுக்கு மேலே புறாக்களின் கவர்ச்சிகரமான பளிங்கு சிற்பங்கள் உள்ளன."
1555,13578757905161481238.wav,"தேவாலயத்தில், சில கல்லறைகளுக்கு மேலே புறாக்களின் கவர்ச்சிகரமான பளிங்கு சிற்பங்கள் உள்ளன."
1555,12805087813443429513.wav,"தேவாலயத்தில், சில கல்லறைகளுக்கு மேலே புறாக்களின் கவர்ச்சிகரமான பளிங்கு சிற்பங்கள் உள்ளன."
1611,7371753752844629976.wav,விஞ்ஞானிகள் இந்த விலங்கினுடைய இறகுப்பகுதியின் மேற்பரப்பு கஷ்கொட்டை-பழுப்பு நிறத்திலும் மற்றும் அடிப்பரப்பு வெளிர் அல்லது கரோட்டினாய்டு நிறத்திலும் இருந்தன என்று கூறுகின்றனர்.
1611,4962979522859697887.wav,விஞ்ஞானிகள் இந்த விலங்கினுடைய இறகுப்பகுதியின் மேற்பரப்பு கஷ்கொட்டை-பழுப்பு நிறத்திலும் மற்றும் அடிப்பரப்பு வெளிர் அல்லது கரோட்டினாய்டு நிறத்திலும் இருந்தன என்று கூறுகின்றனர்.
1611,17784080719843312000.wav,விஞ்ஞானிகள் இந்த விலங்கினுடைய இறகுப்பகுதியின் மேற்பரப்பு கஷ்கொட்டை-பழுப்பு நிறத்திலும் மற்றும் அடிப்பரப்பு வெளிர் அல்லது கரோட்டினாய்டு நிறத்திலும் இருந்தன என்று கூறுகின்றனர்.
1642,14301673938313000735.wav,பிலிப்பைன்சைக் கைப்பற்றிய அமெரிக்க ஏகாதிபத்தியத்தின் போர்ச்செலவுகளை பிலிப்பினோ மக்களே செலுத்தினார்கள்.
1642,9982887249846052469.wav,பிலிப்பைன்சைக் கைப்பற்றிய அமெரிக்க ஏகாதிபத்தியத்தின் போர்ச்செலவுகளை பிலிப்பினோ மக்களே செலுத்தினார்கள்.
1642,15805618710598524493.wav,பிலிப்பைன்சைக் கைப்பற்றிய அமெரிக்க ஏகாதிபத்தியத்தின் போர்ச்செலவுகளை பிலிப்பினோ மக்களே செலுத்தினார்கள்.
1609,5233856762578212977.wav,"ராபின் உத்தப்பா, அந்த இன்னிங்ஸின் அதிகபட்ச ஸ்கோரான, வெறும் 41 பந்துகளில் 70 ரன்களை எடுத்து, 11 பவுண்டரிகள் மற்றும் 2 சிக்சர்களை அடித்தார்."
1609,16882420451474354363.wav,"ராபின் உத்தப்பா, அந்த இன்னிங்ஸின் அதிகபட்ச ஸ்கோரான, வெறும் 41 பந்துகளில் 70 ரன்களை எடுத்து, 11 பவுண்டரிகள் மற்றும் 2 சிக்சர்களை அடித்தார்."
1608,2870993255596040050.wav,"நான் எனது சகோதரி மற்றும் அவளது நண்பரை தொலைத்து விட்டேன் மற்றும் நான் வரும் வழியில், சக்கர நாற்காலியில் அமர்ந்திருந்த ஊனமுற்ற 2 இருவரின் மீது மக்கள் குதித்தவாறும், அவர்களை தள்ளியவாறும் இருந்தனர் என ஆர்மண்ட் வெர்சேஸ் கூறினார்."
1608,8687049153689347417.wav,"நான் எனது சகோதரி மற்றும் அவளது நண்பரை தொலைத்து விட்டேன் மற்றும் நான் வரும் வழியில், சக்கர நாற்காலியில் அமர்ந்திருந்த ஊனமுற்ற 2 இருவரின் மீது மக்கள் குதித்தவாறும், அவர்களை தள்ளியவாறும் இருந்தனர் என ஆர்மண்ட் வெர்சேஸ் கூறினார்."
1608,12812412939462334270.wav,"நான் எனது சகோதரி மற்றும் அவளது நண்பரை தொலைத்து விட்டேன் மற்றும் நான் வரும் வழியில், சக்கர நாற்காலியில் அமர்ந்திருந்த ஊனமுற்ற 2 இருவரின் மீது மக்கள் குதித்தவாறும், அவர்களை தள்ளியவாறும் இருந்தனர் என ஆர்மண்ட் வெர்சேஸ் கூறினார்."
1614,3374407793463141195.wav,"ஆசிலோட்ஸ்கள் இரவில் நன்கு பார்வைதிறன் கொண்டது, அத்துடன் திருட்டுத்தனமாக நகரும் வல்லமை பெற்றது ஆசிலோஸ்கள் அவற்றின் சுற்றுப்புறத்துடன் கலந்து துள்ளி அதன் இரையைத் தேடி வேட்டையாடுகின்றன."
1614,15728641159972785287.wav,"ஆசிலோட்ஸ்கள் இரவில் நன்கு பார்வைதிறன் கொண்டது, அத்துடன் திருட்டுத்தனமாக நகரும் வல்லமை பெற்றது ஆசிலோஸ்கள் அவற்றின் சுற்றுப்புறத்துடன் கலந்து துள்ளி அதன் இரையைத் தேடி வேட்டையாடுகின்றன."
1515,13376926505862167537.wav,இது நான்கு ஆண்டுகளில் மார்ட்டெல்லியின் ஐந்தாவது CEP.
1515,11457528576340990449.wav,இது நான்கு ஆண்டுகளில் மார்ட்டெல்லியின் ஐந்தாவது CEP.
1515,15591648248225585075.wav,இது நான்கு ஆண்டுகளில் மார்ட்டெல்லியின் ஐந்தாவது CEP.
1545,15883666261947611975.wav,"ஒரு குழம்பு திரவத்தின் அளவைப் பொறுத்து ""உலர்ந்த"" அல்லது ""ஈரமானதாக""  இருக்கலாம்."
1545,11744527055215138604.wav,"ஒரு குழம்பு திரவத்தின் அளவைப் பொறுத்து ""உலர்ந்த"" அல்லது ""ஈரமானதாக""  இருக்கலாம்."
1545,2088772532371430482.wav,"ஒரு குழம்பு திரவத்தின் அளவைப் பொறுத்து ""உலர்ந்த"" அல்லது ""ஈரமானதாக""  இருக்கலாம்."
1646,17258445458318942722.wav,ஆக்லாந்து இரண்டு துறைமுகங்களின் பரந்து விரிந்து இருப்பதால் பல கடற்கரைகள் உள்ளன. மிகவும் பிரபலமானவை மூன்று பகுதிகளில் உள்ளன.
1646,10639153685494520430.wav,ஆக்லாந்து இரண்டு துறைமுகங்களின் பரந்து விரிந்து இருப்பதால் பல கடற்கரைகள் உள்ளன. மிகவும் பிரபலமானவை மூன்று பகுதிகளில் உள்ளன.
1646,4354718807686148118.wav,ஆக்லாந்து இரண்டு துறைமுகங்களின் பரந்து விரிந்து இருப்பதால் பல கடற்கரைகள் உள்ளன. மிகவும் பிரபலமானவை மூன்று பகுதிகளில் உள்ளன.
1563,1219700853423853783.wav,"இது சிறிய டைனோசரின் வாலாக இருப்பினும், மாதிரியின் முடிவுகள் அது வயது வந்த தழும்புகளை கொண்டுள்ளது, மற்றும் அது கோழிக்குஞ்சின் பின்புறம் கிடையாது என ஆராய்ச்சியாளர்கள் பரிந்துரைக்கிறார்கள்."
1563,11632217545122125176.wav,"இது சிறிய டைனோசரின் வாலாக இருப்பினும், மாதிரியின் முடிவுகள் அது வயது வந்த தழும்புகளை கொண்டுள்ளது, மற்றும் அது கோழிக்குஞ்சின் பின்புறம் கிடையாது என ஆராய்ச்சியாளர்கள் பரிந்துரைக்கிறார்கள்."
1563,2097672537520297060.wav,"இது சிறிய டைனோசரின் வாலாக இருப்பினும், மாதிரியின் முடிவுகள் அது வயது வந்த தழும்புகளை கொண்டுள்ளது, மற்றும் அது கோழிக்குஞ்சின் பின்புறம் கிடையாது என ஆராய்ச்சியாளர்கள் பரிந்துரைக்கிறார்கள்."
1582,5322768688254148341.wav,"ஹீப்ரு குடும்பத்தின் பெரும்பகுதி வாழ்க்கை, திறந்த வெளியில் நிகழ்ந்தது."
1582,3811289960501501767.wav,"ஹீப்ரு குடும்பத்தின் பெரும்பகுதி வாழ்க்கை, திறந்த வெளியில் நிகழ்ந்தது."
1582,2817923288191541419.wav,"ஹீப்ரு குடும்பத்தின் பெரும்பகுதி வாழ்க்கை, திறந்த வெளியில் நிகழ்ந்தது."
1585,16211808047053899094.wav,"காலப்போக்கில் புதிய மக்கள்தொகை வேறுபட்ட புதிய சுற்றுச்சூழலுக்கு ஏற்றாற்போல் மாற்றம் அடைகிறது, எனவே, அவர்கள் ஏனைய மக்களை விட வேறுபட்டவர்களாக காட்சியளிக்கின்றனர்."
1585,14502892418138062631.wav,"காலப்போக்கில் புதிய மக்கள்தொகை வேறுபட்ட புதிய சுற்றுச்சூழலுக்கு ஏற்றாற்போல் மாற்றம் அடைகிறது, எனவே, அவர்கள் ஏனைய மக்களை விட வேறுபட்டவர்களாக காட்சியளிக்கின்றனர்."
1585,9120245060366168037.wav,"காலப்போக்கில் புதிய மக்கள்தொகை வேறுபட்ட புதிய சுற்றுச்சூழலுக்கு ஏற்றாற்போல் மாற்றம் அடைகிறது, எனவே, அவர்கள் ஏனைய மக்களை விட வேறுபட்டவர்களாக காட்சியளிக்கின்றனர்."
1657,17269027702658762106.wav,எந்த மாற்றமும் அல்லது கோரிக்கையும் முதலில் பயண முகவர் வழியாகத்தான் செய்யப்பட வேண்டும் ஹோட்டலுடன் நேரடையாக அல்ல.
1657,1317128006179753461.wav,எந்த மாற்றமும் அல்லது கோரிக்கையும் முதலில் பயண முகவர் வழியாகத்தான் செய்யப்பட வேண்டும் ஹோட்டலுடன் நேரடையாக அல்ல.
1573,2586608659726438020.wav,"ஒரு செயற்கைக்கோள் தொலைபேசி, மொபைல் ஃபோனுக்கு மாற்றாக இருக்காது, ஏனெனில் நீங்கள் ஒரு தொலைபேசி அழைப்பைச் செய்யவேண்டுமென்றால், வெளிப்புறத்தில் செயற்கைக்கோளுக்கான தெளிவான பார்வை இருக்கவேண்டும்."
1548,16055170000865462251.wav,"ஆயிரக்கணக்கான மைல்கள் தொலைவில் உள்ள ஒருவரை நீங்கள் அழைக்கும்போது, நீங்கள் ஒரு செயற்கைக்கோளை உபயோகிக்கிறீர்கள்."
1548,15599619280952645053.wav,"ஆயிரக்கணக்கான மைல்கள் தொலைவில் உள்ள ஒருவரை நீங்கள் அழைக்கும்போது, நீங்கள் ஒரு செயற்கைக்கோளை உபயோகிக்கிறீர்கள்."
1548,7580267430378604762.wav,"ஆயிரக்கணக்கான மைல்கள் தொலைவில் உள்ள ஒருவரை நீங்கள் அழைக்கும்போது, நீங்கள் ஒரு செயற்கைக்கோளை உபயோகிக்கிறீர்கள்."
1552,3970193737736406096.wav,வரைவு பகுப்பாய்வின் முடிவு ஒரு பொது வலைத்தளத்திற்கு வெளியிடப்படும்.
1552,617268990613828498.wav,வரைவு பகுப்பாய்வின் முடிவு ஒரு பொது வலைத்தளத்திற்கு வெளியிடப்படும்.
1552,5570374100548498862.wav,வரைவு பகுப்பாய்வின் முடிவு ஒரு பொது வலைத்தளத்திற்கு வெளியிடப்படும்.
1575,4877042952801345013.wav,"ஒப்பந்தம் கையொப்பம் ஆனவுடன் பள்ளத்தாக்கில் பத்து வருடங்களுக்கு இராணுவ இருப்பை இஸ்ரேல் கோருகிறது, ஆனால் பிஏ ஐந்து வருட இராணுவ இருப்பை மட்டுமே விட்டுவிட ஒப்புக்கொள்கிறது."
1575,14153835847365638989.wav,"ஒப்பந்தம் கையொப்பம் ஆனவுடன் பள்ளத்தாக்கில் பத்து வருடங்களுக்கு இராணுவ இருப்பை இஸ்ரேல் கோருகிறது, ஆனால் பிஏ ஐந்து வருட இராணுவ இருப்பை மட்டுமே விட்டுவிட ஒப்புக்கொள்கிறது."
1599,13148814948530900395.wav,உண்மையான மக்கள் தொகை எப்பொழுதும் மாறப்போவதில்லை முந்தைய காலத்தை போன்று அவர்களுக்கு இன்று தழுவல்கள் தேவைபடுகின்றது.
1599,10461942282842981790.wav,உண்மையான மக்கள் தொகை எப்பொழுதும் மாறப்போவதில்லை முந்தைய காலத்தை போன்று அவர்களுக்கு இன்று தழுவல்கள் தேவைபடுகின்றது.
1599,2450510615761169407.wav,உண்மையான மக்கள் தொகை எப்பொழுதும் மாறப்போவதில்லை முந்தைய காலத்தை போன்று அவர்களுக்கு இன்று தழுவல்கள் தேவைபடுகின்றது.
